,bath,bed,furnished,monthly,price,size,street,where
6458,2.0,6.0,0,0,1100000,,"630 Monroe Street, #630",Stuyvesant Heights
6459,2.5,2.0,0,0,1995000,,10 East 85th Street #2B,Upper East Side
6460,5.5,9.0,0,0,1900000,3800,936A Lafayette Avenue ,Stuyvesant Heights
6461,,,0,0,2200000,,450 East 78th Street ,Upper East Side
6462,1.0,1.0,0,0,745000,900,530 East 90th Street #1E,Yorkville
6463,2.0,4.0,0,0,710888,,179-07 Murdock Avenue ,St. Albans
6464,2.0,3.0,0,0,2195000,1500,309 West 86th Street #12A,Upper West Side
6465,1.0,1.0,0,0,285000,,48-10 45th Street #1E,Sunnyside
6466,3.0,5.0,0,0,449000,2375,1820 Victor Street ,Van Nest
6467,4.0,8.0,0,0,1399000,3500,541 Madison Street #3,Stuyvesant Heights
6468,7.0,6.0,0,0,6999999,,6 West 83rd Street ,Upper West Side
6469,3.0,9.0,0,0,1350000,2700,112 Cooper Street ,Bushwick
